symbol,name,sector,event_day_return,model_predicted,actual_post_event
DHI,D. R. Horton,Consumer Discretionary,0.09617877454124778,0.12086286821570527,0.08036622164338073
LEN,Lennar,Consumer Discretionary,0.08942370413679468,0.1150827940923862,0.08479504635489996
PHM,PulteGroup,Consumer Discretionary,0.08369480551826786,0.11125870604008663,0.08999361387833715
BLDR,Builders FirstSource,Industrials,0.08960787693553236,0.10910388000962226,0.11892460288895092
NVR,"NVR, Inc.",Consumer Discretionary,0.07536176013528365,0.09876874419297597,0.051926295096579776
SWK,Stanley Black & Decker,Industrials,0.0725078281867015,0.09023969266920864,0.035150624125543706
TSLA,"Tesla, Inc.",Consumer Discretionary,-0.08468179999506559,-0.08465051849539902,0.062441143862201426
ALB,Albemarle Corporation,Materials,0.0794387330004948,0.07944003104563019,-0.0024532362615318527
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,0.07684651240445911,0.07767519205441466,0.05946710795485667
ARE,Alexandria Real Estate Equities,Real Estate,0.07301789637059644,0.07302195849487941,0.021869258972671418
FCX,Freeport-McMoRan,Materials,0.01387963478646393,0.04051074886421429,-0.025424499553884986
MAS,Masco,Industrials,0.05340919475327184,0.027849828083384372,0.07082122305066878
LOW,Lowe's,Consumer Discretionary,0.06018674456253735,0.02463173099493202,0.04768071220571374
HD,Home Depot (The),Consumer Discretionary,0.0483537291956579,0.02097092190899098,0.0424181794198432
POOL,Pool Corporation,Consumer Discretionary,0.06910310467863341,0.020836217695814126,0.0597492951844006
WY,Weyerhaeuser,Real Estate,0.049187322535645304,0.0180595531642227,0.02624106460516739
SHW,Sherwin-Williams,Materials,0.049154891065774114,0.01519636320427723,0.03882624997314395
PPG,PPG Industries,Materials,0.034909489636930434,0.012464068006087773,0.026775765416587893
AOS,A. O. Smith,Industrials,0.06416683066551329,0.011832792965050574,0.0662939407211939
DOC,Healthpeak Properties,Real Estate,0.0350210905806668,0.010870486907338477,0.03573535905016014
KIM,Kimco Realty,Real Estate,0.053136860202269896,0.008310530349072705,0.043401183345564406
BXP,"BXP, Inc.",Real Estate,0.06279245169567227,0.007896563546593429,0.06124662222051119
FRT,Federal Realty Investment Trust,Real Estate,0.04224060460160889,0.007369364181846878,0.03529832106060905
LII,Lennox International,Industrials,0.04007408525792268,0.007193543072668038,0.03661240605676337
CME,CME Group,Financials,0.0060448616604904795,0.006727370892781851,0.007986328675698337
UDR,"UDR, Inc.",Real Estate,0.0055558925892780185,0.006518212050525928,0.011507041483457638
