symbol,name,sector,event_day_return,model_predicted,actual_post_event
HOOD,Robinhood Markets,Financials,-0.08518261413769032,-0.0893907240480137,0.07675798559683655
COIN,Coinbase,Financials,-0.07604383875500352,-0.0791929059095236,0.014929982343346318
SATS,EchoStar,Communication Services,-0.07560811482546877,-0.07560811482546877,0.10491794027979645
LITE,Lumentum,Information Technology,-0.0666913863679508,-0.06779919487874762,0.044105695934828826
NVDA,Nvidia,Information Technology,-0.06568891352300595,-0.06755623203259857,0.044014510128210345
UAL,United Airlines Holdings,Industrials,-0.059194877775923936,-0.06623372940508492,0.0835294124952031
INTC,Intel,Information Technology,-0.06590508038651023,-0.06592601668839655,0.025043308803450084
LUV,Southwest Airlines,Industrials,-0.05539871886457327,-0.05604182852448258,0.06216211585603636
XYZ,"Block, Inc.",Financials,-0.05392924969106502,-0.055528865899395756,0.06758186762831309
AES,AES Corporation,Utilities,-0.0502796760625546,-0.0502867670988616,0.021858681842164232
NEE,NextEra Energy,Utilities,-0.03233527169557315,-0.015351763910771924,0.011152910371626032
FSLR,First Solar,Information Technology,-0.02837343057022716,-0.01095661089837284,0.028748867383334032
LRCX,Lam Research,Information Technology,0.009638846513801189,-0.00929052396137344,0.03662673701172431
AMAT,Applied Materials,Information Technology,0.0004399745630527825,-0.008745506342997028,0.04651249493799876
MU,Micron Technology,Information Technology,-0.024902982792816213,-0.008618096688986698,0.018083742071223145
DAL,Delta Air Lines,Industrials,-0.04887806097226678,-0.008547179936155499,0.04333934650681054
KLAC,KLA Corporation,Information Technology,0.010445583274805565,-0.008192245093229661,0.06708241457860291
MCHP,Microchip Technology,Information Technology,-0.021033489503229336,-0.007263239182571975,0.04526369985099313
ED,Consolidated Edison,Utilities,-0.011159041618708586,-0.007100979205843676,-0.001988015553567429
CCL,Carnival,Consumer Discretionary,-0.02739900655577234,-0.006980816854380089,0.006230509251971293
DUK,Duke Energy,Utilities,-0.02587596418750096,-0.006774021793412669,0.012710446272053514
SO,Southern Company,Utilities,-0.02295290589372903,-0.006656981279972264,-0.0012713779829526227
AWK,American Water Works,Utilities,-0.031926068587866716,-0.006647942383090331,0.01384706237227937
CMS,CMS Energy,Utilities,-0.024806205922722774,-0.006542350080317872,0.010947699561073741
KO,Coca-Cola Company (The),Consumer Staples,-0.01790035675050164,-0.006503846207623412,0.009208429737811642
AEP,American Electric Power,Utilities,-0.037332554365431245,-0.0063129847135764815,-0.00020392115813884677
WEC,WEC Energy Group,Utilities,-0.02209231620894313,-0.006305376242950485,-0.004318268743143564
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,-0.038392455172307466,-0.006267203736289438,0.012317856343205237
JNJ,Johnson & Johnson,Health Care,-0.017763704596038758,-0.006171131992647323,-0.006408050139687817
RCL,Royal Caribbean Group,Consumer Discretionary,0.006603894677324594,-0.0061391877524999226,0.10921647141987013
PNW,Pinnacle West Capital,Utilities,-0.034593589387398115,-0.005994835714946898,0.0019925843267035673
EVRG,Evergy,Utilities,-0.02763919104209193,-0.005785020837651277,0.008168893882713999
PPL,PPL Corporation,Utilities,-0.019443613162691872,-0.005647491597465959,0.015191896576165013
FE,FirstEnergy,Utilities,-0.018921879866825954,-0.005618681038766008,0.01037522904776274
PEP,PepsiCo,Consumer Staples,-0.022722963556798356,-0.005382134617776222,-0.009641881471453954
MO,Altria,Consumer Staples,-0.03425948465464927,-0.005359140864469355,0.02204505901340608
AEE,Ameren,Utilities,-0.02876293866423135,-0.005292269804455766,0.00012453730253678347
GIS,General Mills,Consumer Staples,-0.014539209288533582,-0.004944927857460673,0.011068990630039029
CL,Colgate-Palmolive,Consumer Staples,-0.018059063899161527,-0.00472520017419782,0.017085968942395093
ATO,Atmos Energy,Utilities,-0.02122516980305383,-0.004526055860990756,-0.0024390049559752927
EXC,Exelon,Utilities,-0.032772629754441826,-0.004509059017939013,0.0005329469413562771
O,Realty Income,Real Estate,-0.0023627362692548275,-0.004481611205080694,0.01742077803036916
PG,Procter & Gamble,Consumer Staples,-0.01194782389962125,-0.0044468821421099645,0.016581996115399563
DTE,DTE Energy,Utilities,-0.03677640339220378,-0.004381616749415416,0.00921745387178277
AMT,American Tower,Real Estate,-0.036677085461681205,-0.004219690695784896,-0.011472032891579808
XEL,Xcel Energy,Utilities,-0.029898560923355938,-0.004194873265199986,0.002755210570729656
D,Dominion Energy,Utilities,-0.03705490397025931,-0.003860229371450244,0.0027718213164684494
LNT,Alliant Energy,Utilities,-0.033473072984847904,-0.0038213002154314185,0.012058239770682178
VZ,Verizon,Communication Services,-0.028973099624359098,-0.0037382688313905,0.017928660708645832
CBOE,Cboe Global Markets,Financials,0.012716192834328482,-0.003678031224796122,0.039510622989107874
CB,Chubb Limited,Financials,-0.007398666459962754,-0.0035610766925676897,-0.0003713741617743637
CAG,Conagra Brands,Consumer Staples,-0.02922541916972757,-0.0035475935160405787,0.009616957219950912
MDLZ,Mondelez International,Consumer Staples,-0.023911156825851942,-0.0035378310052178756,0.01823574020611042
T,AT&T,Communication Services,-0.024034632942495304,-0.0033493761073297487,0.02558211303497074
CPB,Campbell's Company (The),Consumer Staples,-0.005514004798703925,-0.0031539078012153485,0.0024544796878258777
MCD,McDonald's,Consumer Discretionary,-0.030233027729311725,-0.003123118047289206,0.010155006701500132
CHD,Church & Dwight,Consumer Staples,0.01400863749190815,-0.003111525033100961,0.022659792481914732
VRT,Vertiv,Industrials,-0.025221806360396594,-0.002861891738615404,0.04799533265814995
CME,CME Group,Financials,-0.013147166418465632,-0.002848645249973105,0.039421584229813636
GS,Goldman Sachs,Financials,-0.024999673996322365,-0.0027558647341589253,0.05664142681934427
KMB,Kimberly-Clark,Consumer Staples,-0.017642327866840436,-0.0027528614929220076,0.025817120559978216
IBKR,Interactive Brokers,Financials,-0.03508818805164822,-0.002701299555757615,0.0609656893494336
MKC,McCormick & Company,Consumer Staples,-0.03262491653964313,-0.0026278912612826876,0.020498912839783143
WM,Waste Management,Industrials,-0.030395598842096513,-0.0025508354777200736,0.02140264051462365
CCI,Crown Castle,Real Estate,-0.039300531121430234,-0.002541150949049616,0.0011729299348810342
CNP,CenterPoint Energy,Utilities,-0.04302556340867776,-0.002522349364002991,0.013407638104912172
TSN,Tyson Foods,Consumer Staples,0.020689190418135377,-0.0025156384865782392,-0.010129522337212126
VICI,Vici Properties,Real Estate,-0.023772449144647594,-0.0024586003870542337,0.015804123166030557
MS,Morgan Stanley,Financials,-0.04023526014933605,-0.0024416924241677886,0.02742533085459035
AVGO,Broadcom,Information Technology,-0.01217236895650318,-0.002397969268840649,0.025433972575677782
YUM,Yum! Brands,Consumer Discretionary,-0.01385471738160585,-0.0023844797310387028,0.027958260868709763
MAA,Mid-America Apartment Communities,Real Estate,-0.02360657762373995,-0.0022996913731769754,0.043733422939969444
KKR,KKR & Co.,Financials,-0.022249080498607684,-0.0022878978566477325,0.059832437033881594
COHR,Coherent Corp.,Information Technology,-0.04654426294390747,-0.0022861880835557866,0.0970057038894051
RSG,Republic Services,Industrials,-0.024548881867248185,-0.002261008897471343,0.031971275914983326
HSY,Hershey Company (The),Consumer Staples,-0.015489882297468335,-0.0021929494101691777,0.030545821420514783
KHC,Kraft Heinz,Consumer Staples,-0.024138242420232606,-0.0021816598426835647,0.00028394407114557853
HRL,Hormel Foods,Consumer Staples,-0.023704281363222116,-0.0021416981756372574,-0.004058038775350947
ETN,Eaton Corporation,Industrials,-0.024646086941348868,-0.002134650283147845,0.05344142663949381
ANET,Arista Networks,Information Technology,-0.013905985792073425,-0.0021287162833033262,0.06028651091654533
PLTR,Palantir Technologies,Information Technology,-0.02662453475199688,-0.0021228785918575,0.1951078895832623
KR,Kroger,Consumer Staples,-0.00794607921625444,-0.0020806710529563603,0.007762012147143422
MPWR,Monolithic Power Systems,Information Technology,-0.03233579023955885,-0.0020672307761639658,0.09062190465897457
ORLY,O’Reilly Automotive,Consumer Discretionary,-0.028094972586647574,-0.001986403086273971,0.013816173764451057
APP,AppLovin,Information Technology,-0.023260312978273343,-0.0019346112910051398,0.1335128274783624
TRMB,Trimble Inc.,Information Technology,-0.020660268286127357,-0.0018386211766631211,0.033941719279185295
FIX,Comfort Systems USA,Industrials,-0.017395270864223582,-0.0018380467477479981,0.04928053986796533
ES,Eversource Energy,Utilities,-0.03163825706735172,-0.0018074364063005474,-0.002618009525042325
TER,Teradyne,Information Technology,-0.007532389526035916,-0.0018044990285970449,0.05426163153756604
