symbol,name,sector,sub_industry,degree_centrality,weighted_degree,betweenness,eigenvector,closeness
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,0.016,4.37435445705179,0.0,1.1375803563397855e-05,0.09261170562690947
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0.0,0.0,0.0,4.297616962637649e-15,0.0
ABBV,AbbVie,Health Care,Biotechnology,0.08,13.669711499669463,0.003591182364729459,0.029042539202377572,0.14588736643586614
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.036000000000000004,5.827916740744141,0.00037675350701402805,0.014971888515891818,0.13152207914610883
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0.166,30.740065941944025,0.007454909819639278,0.06336287359744999,0.16384322538664983
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,0.156,31.470696881638496,0.0002484969939879759,0.057645575473139615,0.16157762615141275
ACN,Accenture,Information Technology,IT Consulting & Other Services,0.028,5.513948540914518,0.007751503006012024,0.0008268976714953496,0.11376271029235845
ADBE,Adobe Inc.,Information Technology,Application Software,0.012,2.3185646772827777,0.0,2.3751173737074254e-05,0.08978524063616031
ADI,Analog Devices,Information Technology,Semiconductors,0.13,26.10696392829249,0.00028056112224448897,0.054845484621004595,0.1582675668627829
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,0.044,7.525162053130652,0.014036072144288576,0.013240677518238143,0.13948837503954511
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,0.14400000000000002,27.19030579365293,0.021122244488977954,0.030209728121046088,0.1560084190929362
ADSK,Autodesk,Information Technology,Application Software,0.024,4.436017588524882,0.001314629258517034,0.00039098796173562677,0.1062794219356854
AEE,Ameren,Utilities,Multi-Utilities,0.328,74.39490862073328,0.011238476953907815,0.12869776995222268,0.20102794124504292
AEP,American Electric Power,Utilities,Electric Utilities,0.332,73.89676174813205,0.004128256513026052,0.12648692099517864,0.19995994748564655
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,0.004,0.7302794988493875,0.0035751503006012024,0.000538238855518759,0.11421941773633329
AFL,Aflac,Financials,Life & Health Insurance,0.198,39.79184109808002,0.002725450901803607,0.07169938664725041,0.1698186308815317
AIG,American International Group,Financials,Multi-line Insurance,0.036000000000000004,7.737797898426736,0.00020841683366733466,0.009640355978134426,0.14024829142721112
AIZ,Assurant,Financials,Multi-line Insurance,0.044,9.148161263562091,0.0,0.011787684538652423,0.13404506931370988
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,0.182,34.673367194421765,0.00019238476953907816,0.057734369880156906,0.16107988044221092
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,0.0,0.0,0.0,4.297616962637649e-15,0.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,0.002,0.35180808096086136,0.0,7.602937963453529e-05,0.09464521235686138
ALGN,Align Technology,Health Care,Health Care Supplies,0.02,3.2357936009523987,0.007663326653306613,0.00529894611632717,0.12476232017349834
ALL,Allstate,Financials,Property & Casualty Insurance,0.17400000000000002,35.39497635354531,0.004408817635270541,0.06459028985360506,0.1648660455674899
ALLE,Allegion,Industrials,Building Products,0.012,2.096656401549293,9.619238476953908e-05,3.777677291115479e-05,0.10059646092309352
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,0.242,47.72142923199564,0.00044889779559118237,0.08013470505678914,0.17092709636745745
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,0.004,0.6697632299586909,0.0,2.8437686515801976e-05,0.09463663266504903
AMD,Advanced Micro Devices,Information Technology,Semiconductors,0.168,29.229596424850715,4.008016032064128e-05,0.05194575345757175,0.15422410419949498
AME,Ametek,Industrials,Electrical Components & Equipment,0.004,0.6780472064497254,0.0,0.0007747069962600616,0.10999775172432459
AMGN,Amgen,Health Care,Biotechnology,0.02,3.793298327025697,8.016032064128256e-05,0.002824312176561838,0.12966780089558058
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,0.064,12.563825022426588,0.0004248496993987976,0.00667732010033285,0.12784583593645757
AMT,American Tower,Real Estate,Telecom Tower REITs,0.29,60.259319081690414,0.004304609218436874,0.1052378778572232,0.18835980523825455
AMZN,Amazon,Consumer Discretionary,Broadline Retail,0.054,9.220500502650463,0.0072705410821643284,0.020262786407378122,0.13840482006340205
ANET,Arista Networks,Information Technology,Communications Equipment,0.14400000000000002,27.16864549651907,0.0011142284569138276,0.044617557572409684,0.15701728615206678
AON,Aon plc,Financials,Insurance Brokers,0.16,30.67158474545879,0.00012024048096192384,0.05326795258093795,0.15913002994923106
AOS,A. O. Smith,Industrials,Building Products,0.022,3.9075640810816292,3.2064128256513025e-05,7.48185586539087e-05,0.10651542230835728
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,0.04,10.784283806039282,0.00022444889779559118,4.398869955364404e-05,0.10312346272567818
APD,Air Products,Materials,Industrial Gases,0.002,0.31677865700278085,0.0,0.0003329426151707214,0.10071881868248371
APH,Amphenol,Information Technology,Electronic Components,0.106,20.920802880979902,0.0004408817635270541,0.029364207152968787,0.15010606682485028
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,0.15,28.696680958821094,0.0003366733466933868,0.05301162410531389,0.16023983675164108
APP,AppLovin,Information Technology,Application Software,0.05,8.170147817803336,0.00022444889779559118,0.012961125825464987,0.14159838586987866
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,0.004,0.6760506458563619,0.0,0.0010587198410625868,0.11638380088854335
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,0.01,1.8659838635154338,1.6032064128256513e-05,0.0011541106281812918,0.11295676338328416
ARES,Ares Management,Financials,Asset Management & Custody Banks,0.148,27.646896411456055,0.0004008016032064128,0.052097731187529334,0.15909449685054705
