symbol,name,sector,event_day_return,model_predicted,actual_post_event
WDC,Western Digital,Information Technology,-0.1801228696729319,-0.19450904509825157,0.02086422177878175
MU,Micron Technology,Information Technology,-0.17672364573815605,-0.19146500782963935,-0.05943988045493381
LITE,Lumentum,Information Technology,-0.1737095759339297,-0.18564971892583595,0.018903462061196627
DELL,Dell Technologies,Information Technology,-0.17456560835418788,-0.18392825744897107,0.021899976681388003
COHR,Coherent Corp.,Information Technology,-0.16686858792203071,-0.179766328421532,0.027985343477727465
MCHP,Microchip Technology,Information Technology,-0.1750900964166077,-0.1794122819567645,-0.04779558634929654
BBY,Best Buy,Consumer Discretionary,-0.17837607725146645,-0.17859672430409249,-0.040507260811675855
APA,APA Corporation,Energy,-0.17487188455340594,-0.17488885298016502,-0.1948004056484185
ZBRA,Zebra Technologies,Information Technology,-0.17132493242647046,-0.17353260421193045,-0.06553974284268145
STX,Seagate Technology,Information Technology,-0.16710772663276563,-0.17316134127488622,-0.025343179851576872
HPQ,HP Inc.,Information Technology,-0.1558313410001247,-0.035925127647708756,-0.039018851873785246
SWK,Stanley Black & Decker,Industrials,-0.1634309787707448,-0.03002044578429537,-0.09704392295089258
TGT,Target Corporation,Consumer Staples,-0.10224794679272334,-0.028149615669706588,-0.016792681048124335
LRCX,Lam Research,Information Technology,-0.11036182459648464,-0.017568597409026523,0.0183826465180134
KLAC,KLA Corporation,Information Technology,-0.0946626995702713,-0.015580440541144375,0.05627737325693499
MPWR,Monolithic Power Systems,Information Technology,-0.1536119723421812,-0.01552883222745076,-0.028413915398460055
AMAT,Applied Materials,Information Technology,-0.07222976151097252,-0.015307559726504681,0.01994598617435321
VRT,Vertiv,Industrials,-0.1093985515836792,-0.014585037402432863,0.0038461983550635154
ED,Consolidated Edison,Utilities,0.023881296280045854,-0.01440514426789217,-0.04000177461492013
TER,Teradyne,Information Technology,-0.09544338453365953,-0.013950791272670288,-0.038001446381682374
DUK,Duke Energy,Utilities,0.02431584065196483,-0.01386705842231602,-0.05987928607948002
ETN,Eaton Corporation,Industrials,-0.0589884723355847,-0.01379171556788579,0.03713966291738394
MRSH,Marsh McLennan,Financials,0.0044566922635514705,-0.013307134406239195,-0.06555701228563754
AWK,American Water Works,Utilities,0.03318470683517925,-0.012988189039141746,-0.05972436588142149
SO,Southern Company,Utilities,0.008026923759595758,-0.012821336553199114,-0.040457346580827676
JBL,Jabil,Information Technology,-0.09957811615279538,-0.012702254916593408,0.06694474405682599
CIEN,Ciena,Information Technology,-0.09094860408686871,-0.012627138212154769,0.037891953428999064
WEC,WEC Energy Group,Utilities,-0.0033115966804515154,-0.012533459558626534,-0.028220831553153816
CL,Colgate-Palmolive,Consumer Staples,0.022117751139590264,-0.012480392094755564,-0.044735783137531945
GIS,General Mills,Consumer Staples,0.02071483392588042,-0.012381107009810675,-0.053964763355585525
PNW,Pinnacle West Capital,Utilities,-0.0007348553508242464,-0.012343103974674703,-0.05316898996547416
CMS,CMS Energy,Utilities,0.004912020583638461,-0.01233791286179495,-0.05386854611567118
KO,Coca-Cola Company (The),Consumer Staples,0.01806322167734884,-0.012332705742543868,-0.033628375624135315
LNT,Alliant Energy,Utilities,0.006652739950520906,-0.012078992355038412,-0.07423848016039782
FIX,Comfort Systems USA,Industrials,-0.05811086239827553,-0.012074015161567671,0.0802871640415205
ATO,Atmos Energy,Utilities,0.0022563407915288697,-0.011844322417197333,-0.03940350459250573
O,Realty Income,Real Estate,-0.0015761786123983242,-0.011326293680673989,-0.05234528585060112
PG,Procter & Gamble,Consumer Staples,0.010672250684640928,-0.011247673431219945,-0.05257941236273812
EXC,Exelon,Utilities,0.028128580712842775,-0.011033246705487568,-0.04570374871955764
ADP,Automatic Data Processing,Industrials,-0.0037587263780108782,-0.010681632765679903,-0.04411683519488965
PPL,PPL Corporation,Utilities,0.004703176531620659,-0.010414573870501426,-0.0576616801498516
EVRG,Evergy,Utilities,0.0028939564777290365,-0.01040118861078167,-0.05540050620102036
DTE,DTE Energy,Utilities,0.011319124935043275,-0.010368589979802811,-0.08012030176823892
MCD,McDonald's,Consumer Discretionary,0.014686062427952059,-0.010341111866677967,-0.03676927547662484
PEP,PepsiCo,Consumer Staples,0.011294373904057645,-0.010300427501198358,-0.048942302188581324
JNJ,Johnson & Johnson,Health Care,0.04197758759906069,-0.010258231454219701,-0.07218461163983979
DVN,Devon Energy,Energy,-0.12486151873262136,-0.01018312496722385,-0.17810857066741828
RSG,Republic Services,Industrials,0.021563924639056254,-0.01008772723379323,-0.03360459197677688
MAA,Mid-America Apartment Communities,Real Estate,-0.023195207869626183,-0.010072068730896664,-0.055082805408858446
AEE,Ameren,Utilities,0.009982847536841975,-0.010033162333899299,-0.05001041859510984
AEP,American Electric Power,Utilities,0.0068052126934991285,-0.009970040014198371,-0.0556877195103845
XEL,Xcel Energy,Utilities,0.01988009154701187,-0.00995845594233799,-0.053089399377470446
CME,CME Group,Financials,0.02306909354488532,-0.009952248835493865,-0.03785910618284632
CB,Chubb Limited,Financials,0.0035107794889202913,-0.009910767872284076,-0.06883707630567222
T,AT&T,Communication Services,0.004204672379499969,-0.009886986374851574,-0.0698636413912214
VICI,Vici Properties,Real Estate,-0.024338104387638986,-0.00974516825032842,-0.05119357067639439
COP,ConocoPhillips,Energy,-0.10116268788044155,-0.009742110139952331,-0.13417665706888693
OXY,Occidental Petroleum,Energy,-0.11377588554965395,-0.00974089375072804,-0.1854242242682727
FANG,Diamondback Energy,Energy,-0.1298529414346505,-0.00964127754826221,-0.1372593187395144
MO,Altria,Consumer Staples,-0.015427127484150377,-0.009590743687694504,-0.026430209109291322
HPE,Hewlett Packard Enterprise,Information Technology,-0.1338968841623348,-0.009513606366058714,0.004376359305670818
NVDA,Nvidia,Information Technology,-0.07883294483628962,-0.009282896452077468,0.05513167577673994
BRK-B,Berkshire Hathaway,Financials,-0.0053238468168536855,-0.009254905264539003,-0.027440321238963394
GLW,Corning Inc.,Information Technology,-0.07404034408801757,-0.009115660783204853,-0.014289472216981798
CHD,Church & Dwight,Consumer Staples,0.01171520683983235,-0.009102064237539264,-0.06518882525634266
PAYX,Paychex,Industrials,-0.006880450298688528,-0.009020209672786867,-0.06123963086202243
EOG,EOG Resources,Energy,-0.07556072187008424,-0.008981407819555833,-0.1363354528785809
AVGO,Broadcom,Information Technology,-0.090036869782831,-0.008758803256863592,0.11221966622456024
PGR,Progressive Corporation,Financials,0.009842903568918355,-0.008714558523002083,-0.04935126622943693
HRL,Hormel Foods,Consumer Staples,0.022516097642668317,-0.00864326919606876,-0.06335163986601486
CBOE,Cboe Global Markets,Financials,0.003371492460402237,-0.008584243348077182,-0.0724468375158547
VZ,Verizon,Communication Services,0.005274568240170472,-0.00842746153059772,-0.04507416208749107
D,Dominion Energy,Utilities,-0.00017780541479230148,-0.008391537113532141,-0.07990926787513394
HAL,Halliburton,Energy,-0.1320228245160197,-0.008363187237334889,-0.09947245360935221
AMT,American Tower,Real Estate,0.039099714006863524,-0.008088373670152851,-0.09110316565952326
CVX,Chevron Corporation,Energy,-0.07637020308611683,-0.00802507302877381,-0.14549833979533183
FE,FirstEnergy,Utilities,0.015961040757314943,-0.008022131620209639,-0.023664069306606767
XOM,ExxonMobil,Energy,-0.057128878734324665,-0.007953236646481399,-0.1178608187052852
WM,Waste Management,Industrials,0.01291939789950541,-0.007846248441574654,-0.04481836554210183
CAG,Conagra Brands,Consumer Staples,0.006744133054656584,-0.007785726361261163,-0.04976153847198932
EME,Emcor,Industrials,-0.05743716058150117,-0.007782489221173168,0.05663791184901759
ANET,Arista Networks,Information Technology,-0.09649576650998556,-0.007730718113059748,0.019177976607300397
CPB,Campbell's Company (The),Consumer Staples,0.007943297561582172,-0.007631630729310515,-0.05258939736634261
PSX,Phillips 66,Energy,-0.14859052490639607,-0.007629623465828173,-0.09990180664715531
AFL,Aflac,Financials,-0.00624442168158246,-0.007583625459969141,-0.06535617930680754
KR,Kroger,Consumer Staples,0.037446689851355616,-0.007475629886788381,-0.04097501909193049
MDLZ,Mondelez International,Consumer Staples,0.0036886856114641264,-0.0074413682398091095,-0.028684334503146856
AJG,Arthur J. Gallagher & Co.,Financials,0.001569157960340338,-0.007428729007145324,-0.055765627623407296
ORLY,O’Reilly Automotive,Consumer Discretionary,0.007022377829467397,-0.007406896014077817,-0.048694438207371404
AMD,Advanced Micro Devices,Information Technology,-0.09142588114031888,-0.007329629998031061,-0.055905033636763427
VST,Vistra Corp.,Utilities,-0.12191260828301377,-0.0072806712656631155,0.009656677043504938
BRO,Brown & Brown,Financials,0.002574967086592177,-0.007166101440802252,-0.059349625157792255
DGX,Quest Diagnostics,Health Care,0.007943327132864178,-0.007160420527927768,-0.035661490169298
PWR,Quanta Services,Industrials,-0.022605998824730276,-0.007135987025913082,0.04142492767743435
CTRA,Coterra,Energy,-0.060624609092649766,-0.007074442934891018,-0.10227887019622617
CAT,Caterpillar Inc.,Industrials,-0.07801798693225821,-0.007050647274463943,-0.05582022187109814
VLO,Valero Energy,Energy,-0.1571585086584188,-0.00700473976245541,-0.0472994915784565
AON,Aon plc,Financials,-0.011398449067683895,-0.006936152166574562,-0.06623583602301547
MPC,Marathon Petroleum,Energy,-0.13128348332397669,-0.006790327367280272,-0.05646791552970666
