symbol,name,sector,impact,first_hop
ED,Consolidated Edison,Utilities,1.0,0
DUK,Duke Energy,Utilities,0.010106600100259613,1
SO,Southern Company,Utilities,0.009539696515828186,1
WEC,WEC Energy Group,Utilities,0.009535371690979254,1
CMS,CMS Energy,Utilities,0.009532096994869028,1
AWK,American Water Works,Utilities,0.008898282470358608,1
EXC,Exelon,Utilities,0.008772309474388593,1
ATO,Atmos Energy,Utilities,0.008758386627938219,1
PNW,Pinnacle West Capital,Utilities,0.008655749246553797,1
LNT,Alliant Energy,Utilities,0.008561611298379547,1
AEP,American Electric Power,Utilities,0.008501729767576998,1
AEE,Ameren,Utilities,0.00844020429269331,1
PPL,PPL Corporation,Utilities,0.008392910703823345,1
EVRG,Evergy,Utilities,0.008384509834584275,1
KO,Coca-Cola Company (The),Consumer Staples,0.00819507531280331,1
DTE,DTE Energy,Utilities,0.008191542537285153,1
FE,FirstEnergy,Utilities,0.00799410256393028,1
O,Realty Income,Real Estate,0.007938297453946237,1
CL,Colgate-Palmolive,Consumer Staples,0.007581309832285246,1
JNJ,Johnson & Johnson,Health Care,0.00758100947105891,1
D,Dominion Energy,Utilities,0.007357291371916124,1
XEL,Xcel Energy,Utilities,0.007272109800877146,1
PG,Procter & Gamble,Consumer Staples,0.007242576083005898,1
GIS,General Mills,Consumer Staples,0.0067751329524840965,1
MO,Altria,Consumer Staples,0.0067226323810605365,1
CME,CME Group,Financials,0.006492290231494761,1
CNP,CenterPoint Energy,Utilities,0.006451782776831325,1
PEP,PepsiCo,Consumer Staples,0.006414537403576542,1
CBOE,Cboe Global Markets,Financials,0.00639612106973809,1
AMT,American Tower,Real Estate,0.006356456116964186,1
RSG,Republic Services,Industrials,0.0061228361783025554,1
MCD,McDonald's,Consumer Discretionary,0.006121513883536582,1
CHD,Church & Dwight,Consumer Staples,0.005934276143228196,1
CB,Chubb Limited,Financials,0.005845704590812502,1
MDLZ,Mondelez International,Consumer Staples,0.005790599172210079,1
VZ,Verizon,Communication Services,0.005723772699269339,1
T,AT&T,Communication Services,0.005700341445332222,1
VICI,Vici Properties,Real Estate,0.005695775911900876,1
WM,Waste Management,Industrials,0.005624613372176417,1
KR,Kroger,Consumer Staples,0.005409479012376491,1
CCI,Crown Castle,Real Estate,0.005386803109342408,1
ES,Eversource Energy,Utilities,0.005321209198261776,1
NI,NiSource,Utilities,0.005293701811387673,1
LRCX,Lam Research,Information Technology,0.00521627463507594,1
KMB,Kimberly-Clark,Consumer Staples,0.00521514235527591,1
VTR,Ventas,Real Estate,0.005184717596663598,1
CAG,Conagra Brands,Consumer Staples,0.005172049829871089,1
WELL,Welltower,Real Estate,0.005144400111327551,1
MPWR,Monolithic Power Systems,Information Technology,0.005008073791684493,1
MRSH,Marsh McLennan,Financials,0.0049454673491494275,1
MAA,Mid-America Apartment Communities,Real Estate,0.004927941769626758,1
KLAC,KLA Corporation,Information Technology,0.0049154041593734935,1
WRB,W. R. Berkley Corporation,Financials,0.004760458438432797,1
REG,Regency Centers,Real Estate,0.004733749370361949,1
DGX,Quest Diagnostics,Health Care,0.00472564693096585,1
COR,Cencora,Health Care,0.004716026804645106,1
ORLY,O’Reilly Automotive,Consumer Discretionary,0.004634598584277943,1
COHR,Coherent Corp.,Information Technology,0.004625661725250165,1
VRT,Vertiv,Industrials,0.004590184328746406,1
PGR,Progressive Corporation,Financials,0.004580353610125526,1
