symbol,name,sector,impact,first_hop
SWK,Stanley Black & Decker,Industrials,1.0,0
MAS,Masco,Industrials,0.02732027702462023,1
BLDR,Builders FirstSource,Industrials,0.01827002208822524,1
PHM,PulteGroup,Consumer Discretionary,0.01767749341831834,1
RSG,Republic Services,Industrials,0.017358248140210464,1
WM,Waste Management,Industrials,0.01602223448842692,1
LEN,Lennar,Consumer Discretionary,0.01572410826622377,1
CME,CME Group,Financials,0.0156334230693927,1
DHI,D. R. Horton,Consumer Discretionary,0.014629679476152948,1
LOW,Lowe's,Consumer Discretionary,0.014214807095105971,1
PPG,PPG Industries,Materials,0.01357093626483382,1
ITW,Illinois Tool Works,Industrials,0.013386529193504478,1
WELL,Welltower,Real Estate,0.013344925055343564,1
DUK,Duke Energy,Utilities,0.013110827757678899,1
ATO,Atmos Energy,Utilities,0.01253400732804461,1
POOL,Pool Corporation,Consumer Discretionary,0.012503114213164844,1
COR,Cencora,Health Care,0.01243517970985358,1
EVRG,Evergy,Utilities,0.012280322681171164,1
NI,NiSource,Utilities,0.012226295019110114,1
NDSN,Nordson Corporation,Industrials,0.01214835147031235,1
IR,Ingersoll Rand,Industrials,0.0120085678965542,1
IEX,IDEX Corporation,Industrials,0.011976305939262449,1
ED,Consolidated Edison,Utilities,0.011950102046892267,1
KR,Kroger,Consumer Staples,0.011652991250833165,1
PM,Philip Morris International,Consumer Staples,0.011645322874327879,1
AEE,Ameren,Utilities,0.01163790316573042,1
EXC,Exelon,Utilities,0.01155610364265058,1
PNW,Pinnacle West Capital,Utilities,0.011533496277751656,1
SO,Southern Company,Utilities,0.011452356061845598,1
KMI,Kinder Morgan,Energy,0.011444649204017249,1
MCHP,Microchip Technology,Information Technology,0.011437300183367307,1
DD,DuPont,Materials,0.011397025200739706,1
WMB,Williams Companies,Energy,0.011315519637308938,1
TMUS,T-Mobile US,Communication Services,0.01128869646247137,1
LII,Lennox International,Industrials,0.011252569628317633,1
VTR,Ventas,Real Estate,0.011223736853315404,1
PGR,Progressive Corporation,Financials,0.011156404800451328,1
MO,Altria,Consumer Staples,0.011047783520917826,1
CBOE,Cboe Global Markets,Financials,0.010745713420022701,1
COST,Costco,Consumer Staples,0.01061787358173141,1
VRSK,Verisk Analytics,Industrials,0.010379489515312541,1
RVTY,Revvity,Health Care,0.010360798323523946,1
MTD,Mettler Toledo,Health Care,0.010230688883335084,1
JBHT,J.B. Hunt,Industrials,0.010157503366596907,1
BBY,Best Buy,Consumer Discretionary,0.01002910668820015,1
ZBRA,Zebra Technologies,Information Technology,0.009873709064309849,1
